ambiguity,ambiguity_reason,answerable,block_id,block_type,claim_role,duplicated_across_claims,duplicated_within_claim,evidence_corpus_triple_exists,exact_block_available,exclusion_reason,included_in_claim_metric,included_in_primary_question_metric,included_in_v2,page,page_only_relation,paper_id,question_id,relation_key,relation_source,required_claim_id
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000218,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-2fef5549293d6f983f79|2001.08361|7|b000218,claim-units-v1 question-level candidate Gold mapping,cl-q019-2fef5549293d6f983f79
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000215,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-9d65c5779788321a4283|2001.08361|7|b000215,claim-units-v1 question-level candidate Gold mapping,cl-q019-9d65c5779788321a4283
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000216,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-9d65c5779788321a4283|2001.08361|7|b000216,claim-units-v1 question-level candidate Gold mapping,cl-q019-9d65c5779788321a4283
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000217,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-9d65c5779788321a4283|2001.08361|7|b000217,claim-units-v1 question-level candidate Gold mapping,cl-q019-9d65c5779788321a4283
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000218,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-9d65c5779788321a4283|2001.08361|7|b000218,claim-units-v1 question-level candidate Gold mapping,cl-q019-9d65c5779788321a4283
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000032,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q050,q050|cl-q050-e6beec554909bcb0e6ba|1706.03762|2|b000032,claim-units-v1 question-level candidate Gold mapping,cl-q050-e6beec554909bcb0e6ba
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000035,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1706.03762,q050,q050|cl-q050-e6beec554909bcb0e6ba|1706.03762|3|b000035,claim-units-v1 question-level candidate Gold mapping,cl-q050-e6beec554909bcb0e6ba
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-e6beec554909bcb0e6ba|1706.03762|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q050-e6beec554909bcb0e6ba
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-e6beec554909bcb0e6ba|1706.03762|1|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q050-e6beec554909bcb0e6ba
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,5,False,1706.03762,q050,q050|cl-q050-e6beec554909bcb0e6ba|1706.03762|5|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q050-e6beec554909bcb0e6ba
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000032,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q050,q050|cl-q050-96cfbcf597379dea6b6f|1706.03762|2|b000032,claim-units-v1 question-level candidate Gold mapping,cl-q050-96cfbcf597379dea6b6f
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000035,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1706.03762,q050,q050|cl-q050-96cfbcf597379dea6b6f|1706.03762|3|b000035,claim-units-v1 question-level candidate Gold mapping,cl-q050-96cfbcf597379dea6b6f
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-96cfbcf597379dea6b6f|1706.03762|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q050-96cfbcf597379dea6b6f
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-96cfbcf597379dea6b6f|1706.03762|1|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q050-96cfbcf597379dea6b6f
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,5,False,1706.03762,q050,q050|cl-q050-96cfbcf597379dea6b6f|1706.03762|5|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q050-96cfbcf597379dea6b6f
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000032,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q050,q050|cl-q050-fcbcedc602ad451d727a|1706.03762|2|b000032,claim-units-v1 question-level candidate Gold mapping,cl-q050-fcbcedc602ad451d727a
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000035,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1706.03762,q050,q050|cl-q050-fcbcedc602ad451d727a|1706.03762|3|b000035,claim-units-v1 question-level candidate Gold mapping,cl-q050-fcbcedc602ad451d727a
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-fcbcedc602ad451d727a|1706.03762|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q050-fcbcedc602ad451d727a
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1706.03762,q050,q050|cl-q050-fcbcedc602ad451d727a|1706.03762|1|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q050-fcbcedc602ad451d727a
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,5,False,1706.03762,q050,q050|cl-q050-fcbcedc602ad451d727a|1706.03762|5|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q050-fcbcedc602ad451d727a
